Grade,Rolling Cum GPA,Term 1,Term 2
7,2.829,3.143,3
8,3.187,3.571,3.571
8,3.28,3.571,3
8,2.354,2.714,3
6,,2.857,3
8,3.939,3.857,4
8,3.082,2.571,2.571
8,2.184,2.857,2.714
7,,1.571,1.143
8,2.354,2.714,2.857
8,3.184,3.429,3.286
8,3.429,3.571,3.571
6,,3.571,3.857
7,2.676,2.857,2.714
6,,3.857,3.714
8,3.878,3.714,3.857
6,,3.143,2.571
7,2.771,2.857,2.857
7,2.114,2.714,2.286
6,,2.857,2.429
6,,3.286,3.286
7,2.8,3.143,2.714
7,3.086,2.571,3.143
7,1.941,2.429,1.857
8,2.542,2.571,2.286
6,,3,2.429
6,,2.857,2.429
8,3.429,3.429,3.571
7,3.647,3.571,3.571
6,,3.571,3.714
7,3.206,2.857,2.714
8,2.436,2,2.143
7,2.429,2.857,2.714
8,3.729,3.857,3.857
8,3.479,3.571,3.143
8,2.914,3,3.143
7,3.6,3.571,3.857
8,3.918,3.714,4
6,,3.571,2.857
7,2.912,2.286,2.571
6,,2.571,2
6,,3.714,3.857
8,2.6,2.429,2.714
7,3.286,3.143,3
7,2.229,2,2.571
8,3.143,3.429,3
6,,3.714,3.571
6,,2.857,2.857
7,3.057,3.429,2.714
7,2.067,3,
7,1.121,1.143,0.857
7,3.917,3.714,4
7,3.571,3.286,3.429
6,,3,2.143
8,2.98,2.857,2.857
8,3,3.143,3.429
6,,2.857,2.143
6,,3.286,2.429
7,1.971,2.143,1.571
6,,2,1.571
7,3.686,3.714,3.571
6,,3,2.714
8,3.5,,
6,,,
6,,2.143,1.714
8,3.878,3.857,4
6,,3,2.857
6,,3.571,3.571
8,2.912,2.143,2.714
7,3.324,3.429,3.143
7,3.029,3.143,3
7,2.333,2,
7,3.806,3.875,3.857
6,,3.857,4
6,,2.429,2.571
8,1.571,1.857,1.429
7,3.343,3.286,3.429
6,,3.286,2.857
6,,3.857,3.857
6,,3,2.857
6,,2,2
7,3.714,3.714,3.429
7,3.4,3,3.286
6,,2.286,2.143
7,3.057,2.714,2.857
7,2.514,2.714,1.857
8,3.46,3.571,3.143
7,2.529,2.143,1.714
7,4,4,4
6,,3.857,3.857
7,3,3.143,3
6,,2.857,3
7,3.143,3,2.857
8,3.388,3.429,3.286
7,3.857,4,3.857
6,,3.714,3.857
8,2.16,2.714,2
8,2.596,2.714,2.714
7,2.235,2.286,2.714
6,,2.714,2.571
8,2.625,2.857,2.714
8,2.75,2.857,2.286
8,2.729,3,3
6,,3.143,3
6,,3.571,3.286
7,4,4,4
6,,3.857,3.714
8,2.854,3.143,3
6,,3.429,3.286
6,,3.429,3.571
7,2.941,2.714,2.571
7,3.771,3.857,3.857
7,3.343,3.429,3.143
8,2.062,1.571,2.143
6,,3.429,3
6,,3.714,2.714
