Grade,Rolling Cum GPA,Term 1,Term 2
8,3.882,3.833,4
6,,2.286,2.571
7,1.45,1,0.833
7,1.857,1.143,1.286
8,3.029,2.333,2
8,3.706,3,3.571
7,1.381,1.286,1.286
8,1.771,0.571,1.143
6,,3.571,3.429
7,3.25,2.833,3.143
7,1.762,1.714,1.143
8,3.824,3.667,3.714
7,3.571,3.571,3.714
6,,2.857,2.857
6,,3.571,3.714
7,1.9,1.833,1.429
6,,1.571,2.286
7,2.048,1.286,1.429
6,,3,2.571
7,2,2.143,1.571
7,,0.857,1
6,,3.429,3
6,,2.429,1.714
7,1.381,0.714,1.571
6,,3.857,3.857
7,3.524,4,4
7,3.667,3.857,3.571
8,3.824,4,3.857
8,2.829,2.286,2.286
6,,3.286,3
6,,2.167,1.857
7,1.667,1.286,1.143
6,,3.143,3.429
6,,2,2
6,,4,3.429
8,1.727,1,1.167
8,3.333,3,3.143
7,0.952,0.857,0.429
8,2.514,2.571,2
6,,3,3.571
8,2.229,0.857,1.143
6,,2.143,1.714
8,3.086,2.429,2.857
8,1.943,1.857,1.429
6,,2.857,2.143
8,2.588,1.5,1.857
8,2.235,2.333,1.857
8,1.829,0.571,1.143
7,3.381,3.429,3.143
7,2.286,1.571,2.429
7,2.333,2.571,1.714
8,3.229,2.571,2.286
7,3.762,3.857,3.857
6,,1.857,1.286
7,3.65,3.571,3.429
6,,2.857,3.143
8,1.857,1.429,1.571
6,,3.714,3.429
8,3.486,3.714,3.429
8,1.714,0.857,0.857
8,2.457,1.857,1.429
8,2.514,1.571,1.571
6,,2,2.714
8,1.771,0.429,0.286
6,,1,1.429
6,,0.286,0.857
7,1.85,2.143,1.429
8,2.971,2,2.286
7,2.619,3,1.857
6,,1.333,1.714
6,,1.143,1.286
7,0.6,0,0
8,1.943,2,1.286
7,3.524,4,2.857
6,,1.143,1.429
7,2.238,1.857,2
6,,0.857,1.286
7,,2.333,2.857
6,,1.857,1.286
8,2.733,2.286,3
7,2.133,1.714,2.571
7,3.571,3.857,3.286
6,,1,1
6,,1.143,1.571
6,,4,3.857
7,1.476,1.429,1.429
8,1.686,0.857,1.143
6,,1.857,2.286
8,2.333,2.167,1.286
7,1.524,0.571,1.143
7,1.619,0.857,1
6,,1.429,2.714
8,3.2,3.429,2.714
6,,3.714,3.857
7,1.476,1.143,1
7,1.762,1.714,1.714
6,,1.571,0.714
7,,0.714,0.714
7,3,3,2.714
8,1.676,1.571,1.333
7,2.19,2,1.857
6,,1,0.714
8,3.771,3.571,3.429
6,,2.286,1.571
6,,1.857,1.429
6,,3.714,3.857
6,,3.714,4
8,2.857,2.286,2.714
7,0.5,0.429,
6,,3.571,3.571
6,,4,4
6,,3.571,3.429
6,,1.714,1.143
6,,2.143,1.714
7,2.85,3,3.286
6,,2.857,2.429
6,,1.286,1.571
7,2.8,3.143,2.143
8,2.8,3.143,2.286
8,1.714,0.571,0.714
8,1.214,0.143,0.571
6,,3.286,2.857
7,3.429,3.857,3.714
8,2.107,1.286,2.286
6,,3.857,4
8,,2.429,2.857
8,2.314,3,2.143
6,,,
8,1.571,0.429,0.857
8,3.971,4,4
6,,3.429,2.571
8,2.829,1.714,2.143
7,2.429,2.429,2.143
7,3.7,3.857,3.857
7,3.2,2.667,3.143
6,,2,1.429
8,3.114,2.714,2.714
8,1.679,1.143,1
7,1.476,0.571,0.571
7,3.6,3.667,3.571
6,,3.429,2.714
7,1.81,1.857,1.571
6,,3.143,3.571
7,1.95,1.857,1.714
7,2.095,2,1.857
7,2.952,2.286,3.143
8,2,2.286,1.857
7,2.5,2.5,2.429
6,,3.429,3.143
6,,3.714,3.857
8,1.8,1.286,1.286
7,3.7,4,3.571
8,2.743,1.857,1.286
7,1.952,1.571,1.286
8,2.294,1.429,2.714
8,2.143,1,1.429
6,,3.714,3.714
7,3.15,3.286,3.143
6,,1.833,1.429
8,1.794,1.286,0.714
6,,2.143,2.143
7,1.905,1.571,1.286
8,2.571,2.286,2.286
8,3.618,4,4
8,3.914,3.857,4
7,3.238,3.286,3.286
7,2.429,1.857,2.143
8,3.2,3,2.857
6,,3.429,3.571
8,1.3,0.286,0.571
7,1.692,0.333,
6,,1.714,2
8,1.543,0.286,1.143
7,1.25,0.857,1
8,1.815,1.571,1.5
6,,2.857,2.714
7,2.714,2.286,2.429
7,2.4,2.429,1.857
8,2.457,3,1.571
6,,3.571,3.714
6,,3.571,3.857
7,2.333,2,2.429
8,1.886,0.571,0.857
7,1.154,0.167,2
8,3.059,2.5,2.857
8,3.943,3.857,3.857
8,1.686,1.143,1.286
6,,3,2.429
6,,1.857,2.286
7,1.45,1,0.571
6,,1,1.143
8,3.576,2.833,3.429
7,3.905,3.857,4
6,,,
8,2,1.714,2
6,,1.857,1.429
6,,2.429,1.857
8,,3.857,4
6,,0,0.4
6,,0.429,0.571
8,2.457,1.143,1.571
6,,3.429,3.714
7,1.2,0.429,1.143
8,3.4,3.429,3.286
7,1.3,0.714,0.333
7,2.667,2.286,2.571
8,3.486,3.429,3.143
8,2.686,2.286,2.429
8,2.143,1.571,0.571
8,3.686,3.714,3.714
8,2.343,3,2.857
8,2.048,1.857,1.571
6,,3.571,3.857
8,,1.857,2.286
7,1.667,1.714,1.857
7,2.81,2.857,2.286
7,3.81,3.714,3.857
8,2.167,2.333,
7,3.952,4,4
8,1.9,2.143,1
8,2.265,2,1.429
7,1.619,1.429,1.571
7,3.19,3,3.429
8,3.5,3.5,3.714
6,,3.714,3.857
7,2.9,2.857,2.714
6,,2.714,2.143
7,2.476,2.429,1.857
6,,3.571,2.429
8,3.143,2.429,3.143
6,,2.714,2.286
8,2.171,0.571,1
6,,3.571,3.714
8,3.676,3.333,4
6,,2.286,2.143
8,3.206,3.167,3.143
6,,4,3.143
6,,4,3.857
6,,4,4
7,0.952,0.143,0.143
8,2.471,0.857,1.143
7,2.905,2.571,2.857
